сапогоу|sapogu|сапогоу
мънози|mъnogi|мъноѕи
вѣровашѧ|věrovašę|вѣровашѧ
въ|vъ|въ
імѧ|jьmę|имѧ
его|jego|ѥго
видѧште|vidęћe|видѧще
знаменьѣ|znamenьjǢ|знамениꙗ
его|jego|ѥго
ѣже|jǢže|ꙗже
творѣаше|tvoŕǢaše|творꙗаше
самъ|samъ|самъ
же|že|же
и҃с|jisusъ|исоусъ
не|ne|не
въдааше|vъdajǢaše|въдаꙗаше
себе|sebe|себе
въ|vъ|въ
вѣрѫ|věrǫ|вѣрѫ
ꙇхъ|jixъ|ихъ
ꙇмьже|jimьže|имьже
самъ|samъ|самъ
вѣдѣаше|věděaše|вѣдѣаше
вьсе|vьxe|вьсе
ꙇ|i|и
ѣко|ako|ако
не|ne|не
трѣбоваше|terbovaaše|трѣбовааше
да|da|да
къто|kъto|къто
съвѣдѣтел҄ьствоуетъ|sъvěděteĺьstvujetъ|съвѣдѣтел҄ьствоуѥтъ
о|o|о
ч҃цѣ|čьlověkě|чьловѣцѣ
самъ|samъ|самъ
бо|bo|бо
вѣдѣаше|věděaše|вѣдѣаше
чьто|čьto|чьто
бѣ|bě|бѣ
въ|vъ|въ
ч҃цѣ|čьlověkě|чьловѣцѣ
Бѣ|bě|бѣ
ч҃къ|čьlověkъ|чьловѣкъ
отъ|otъ|отъ
фарисѣі|farisejь|фарисеи
никодимъ|nikodimъ|никодимъ
ꙇмѧ|jьmę|имѧ
емоу|jemu|ѥмоу
кънѧзь|kъnęgь|кънѧѕь
ꙇюдеꙇскъ|ijudejьskъ|июдеискъ
сь|sь|сь
приде|prijьde|прииде
къ|kъ|къ
н҄емоу|ńemu|н҄емоу
ноштиѭ|noћьjǫ|нощиѭ
ꙇ|i|и
рече|reče|рече
емоу|jemu|ѥмоу
равⸯви|ravvi|равви
вѣмь|věmъ|вѣмъ
ѣко|ako|ако
отъ|otъ|отъ
б҃а|boga|бога
пришьлъ|prišьdlъ|пришьлъ
еси|jesi|ѥси
оучител҄ь|učiteĺь|оучител҄ь
никътоже|nikъtože|никътоже
бо|bo|бо
не|ne|не
можетъ|možetъ|можетъ
знамени||
сихъ|sixъ|сихъ
творити|tvoriti|творити
ѣже|jǢže|ꙗже
тꙑ|ty|тъі
сътвориши|sъtvoriši|сътвориши
аште|aћe|аще
не|ne|не
бѫдетъ|bǫdetъ|бѫдетъ
б҃ъ|bogъ|богъ
съ|﻿sъ|﻿съ
н҄имь|ńimь|н҄имь
отъвѣшта|otъvěћǢ|отъвѣща
и҃с|jisusъ|исоусъ
ꙇ|i|и
рече|reče|рече
емоу|jemu|ѥмоу
амин|aminь|аминь
амин|aminь|аминь
г҃лѭ|golgoĺǫ|глаголѭ
тебѣ|tebě|тебѣ
аште|aћe|аще
къто|kъto|къто
не|ne|не
родитъ|roditъ|родитъ
сѧ|sę|сѧ
съвꙑше|sъvyše|съвъіше
не|ne|не
можетъ|možetъ|можетъ
видѣти|viděti|видѣти
ц҃рсиѣ|kěsaŕьstvьjǢ|цѣсар҄ьствиꙗ
б҃жиѣ|božьjǢ|божиꙗ
г҃ла|golgola|глагола
къ|kъ|къ
н҄емоу|ńemu|н҄емоу
никодимъ|nikodimъ|никодимъ
како|kako|како
можетъ|možetъ|можетъ
ч҃къ|čьlověkъ|чьловѣкъ
родити|roditi|родити
сѧ|sę|сѧ
старъ|starъ|старъ
сꙑ|sy|съі
еда|jeda|ѥда
можетъ|možetъ|можетъ
въторицеѭ|vъtorikejǫ|въторицеѭ
въ|vъ|въ
ѫтробѫ|ǫtrobǫ|ѫтробѫ
вьлѣсти|vъlěsti|вълѣсти
матере|matere|матере
своеѩ|svojeję|своѥѩ
ꙇ|i|и
родити|roditi|родити
сѧ|sę|сѧ
отъвѣшта|otъvěћǢ|отъвѣща
и҃с|jisusъ|исоусъ
амин|aminь|аминь
амин|aminь|аминь
г҃лѭ|golgoĺǫ|глаголѭ
тебѣ|tebě|тебѣ
аште|aћe|аще
къто|kъto|къто
не|ne|не
родитъ|roditъ|родитъ
сѧ|sę|сѧ
водоѭ|vodojǫ|водоѭ
ꙇ|i|и
д҃хомь|duxomь|доухомь
не|ne|не
можетъ|možetъ|можетъ
вьнити|vъniti|вънити
вь|vъ|въ
ц҃рсие|kěsaŕьstvьje|цѣсар҄ьствиѥ
б҃жие|božьje|божиѥ
рожденъ||
отъ|otъ|отъ
плъти|plъti|плъти
плъть|plъtь|плъть
естъ|jestъ|ѥстъ
ꙇ|i|и
рождено||
отъ|otъ|отъ
д҃ха|duxa|доуха
д҃хъ|duxъ|доухъ
естъ|jestъ|ѥстъ
не|ne|не
чюди|čudi|чоуди
сѧ|sę|сѧ
ѣко|ako|ако
рѣхъ|rěxъ|рѣхъ
ти|tebě|тебѣ
подобаетъ|podobajetъ|подобаѥтъ
вамъ|vamъ|вамъ
родити|roditi|родити
сѧ|sę|сѧ
съвꙑше|sъvyše|съвъіше
д҃хъ|duxъ|доухъ
ꙇдеже|jьdeže|идеже
хоштетъ|xoћetъ|хощетъ
доушетъ|dušetъ|доушетъ
ꙇ|i|и
гласъ|golsъ|гласъ
его|jego|ѥго
слꙑшиши|slyšiši|слъішиши
нъ|nъ|нъ
не|ne|не
вѣси|věsi|вѣси
отъкѫдоу|otъkǫdu|отъкѫдоу
приходитъ|prixoditъ|приходитъ
ꙇ|i|и
камо|kamo|камо
ꙇдетъ|jьdetъ|идетъ
тако|tako|тако
естъ|jestъ|ѥстъ
рожденꙑ|roђenъjь|рожденъіи
отъ|otъ|отъ
д҃ха|duxa|доуха
отъвѣшта|otъvěћǢ|отъвѣща
никодимъ|nikodimъ|никодимъ
ꙇ|i|и
рече|reče|рече
емоу|jemu|ѥмоу
како|kako|како
могѫтъ|mogǫtъ|могѫтъ
си|si|си
бꙑти|byti|бъіти
отъвѣшта|otъvěћǢ|отъвѣща
и҃с|jisusъ|исоусъ
ꙇ|i|и
рече|reče|рече
емоу|jemu|ѥмоу
тꙑ|ty|тъі
еси|jesi|ѥси
оучител҄ь|učiteĺь|оучител҄ь
ꙇ҃левъ|jizrajiĺevъ|издраил҄евъ
ꙇ|i|и
сихъ|sixъ|сихъ
ли|li|ли
не|ne|не
вѣси|věsi|вѣси
амин|aminь|аминь
амин|aminь|аминь
г҃лѭ|golgoĺǫ|глаголѭ
тебѣ|tebě|тебѣ
ѣко|ako|ако
еже|ježe|ѥже
вѣмь|věmъ|вѣмъ
г҃лемъ|golgoĺemъ|глагол҄емъ
ꙇ|i|и
еже|ježe|ѥже
дастъ|dastъ|дастъ
въ|vъ|въ
рѫцѣ|rǫkě|рѫцѣ
его|jego|ѥго
вѣроуѩі|věrujęjь|вѣроуѩи
въ|vъ|въ
с҃на|syna|съіна
ꙇматъ|jьmatъ|иматъ
животъ|životъ|животъ
вѣчьнꙑ|věčьnъjь|вѣчьнъіи
а|a|а
ꙇже|jьže|иже
не|ne|не
вѣроуетъ|věrujetъ|вѣроуѥтъ
въ|vъ|въ
с҃на|syna|съіна
не|ne|не
оузьритъ|uzьritъ|оузьритъ
живота|života|живота
нъ|nъ|нъ
гнѣвъ|gněvъ|гнѣвъ
б҃жі|božьjь|божии
прѣбꙑваетъ|perbyvajetъ|прѣбъіваѥтъ
на|na|на
н҄емь|ńemь|н҄емь
егда|jegъda|ѥгъда
же|že|же
оуслꙑша|uslyšǢ|оуслъіша
г҃ь|gospodь|господь
ко|kъ|къ
оуслꙑшашѧ|uslyšǢšę|оуслъішашѧ
