sapogu|сапогоу
plъtь|плъть
bo|бо
mojǞ|моꙗ
jьstinьnoje|истиньноѥ
jestъ|ѥстъ
boršьno|брашьно
i|и
krъvь|кръвь
mojǞ|моꙗ
jьstinьno|истиньно
jestъ|ѥстъ
pivo|пиво
|
mojǫ|моѭ
plъtь|плъть
i|и
pьjęjь|пиѩи
mojǫ|моѭ
krъvь|кръвь
vъ|въ
mъně|мънѣ
perby|прѣбъі
i|и
azъ|азъ
vъ|въ
ńemь|н҄емь
akože|акоже
posъla|посъла
mę|мѧ
|
otьkь|отьць
i|и
azъ|азъ
živǫ|живѫ
boga|бога
radi|ради
i|и
jǞdy|ꙗдъі
mę|мѧ
tъ|тъ
živъ|живъ
bǫdetъ|бѫдетъ
mene|мене
radi|ради
sь|сь
jestъ|ѥстъ
xlěbъ|хлѣбъ
|
﻿sъ|﻿съ
nebese|небесе
ne|не
akože|акоже
jǞšę|ꙗшѧ
otьki|отьци
vaši|ваши
manъnǫ|манънѫ
i|и
umeršę|оумрѣшѧ
jǞdyjь|ꙗдъіи
xlěbъ|хлѣбъ
sь|сь
živъ|живъ
bǫdetъ|бѫдетъ
vъ|въ
věkъ|вѣкъ
si|си
reče|рече
na|на
sъnьmišči|съньмищи
učę|оучѧ
vъ|въ
kaperъnaumě|каперънаоумѣ
mъnogi|мъноѕи
že|же
slyšǞvъšeji|слъішавъшеи
otъ|отъ
učenikъ|оученикъ
jego|ѥго
rěšę|рѣшѧ
žestoko|жестоко
jestъ|ѥстъ
slovo|слово
se|се
kъto|къто
možetъ|можетъ
jego|ѥго
slušǞti|слоушати
vědy|вѣдъі
že|же
jisusъ|исоусъ
vъ|въ
sebě|себѣ
ako|ако
rъpъћǫtъ|ръпъщѫтъ
o|о
semь|семь
učeniki|оученици
jego|ѥго
reče|рече
jimъ|имъ
se|се
li|ли
vy|въі
blaznitъ|блазнитъ
aћe|аще
ubo|оубо
uzьrite|оузьрите
syna|съіна
čьlověčьskajego|чьловѣчьскаѥго
vъxodęћǞ|въходѧща
jьdeže|идеже
bě|бѣ
perђe|прѣжде
duxъ|доухъ
jestъ|ѥстъ
jьže|иже
živitъ|живитъ
otъ|отъ
plъti|плъти
něstъ|нѣстъ
polьgę|польѕѧ
|
golgoly|глаголъі
jęže|ѩже
azъ|азъ
golgolaxъ|глаголахъ
vamъ|вамъ
duxъ|доухъ
sǫtъ|сѫтъ
i|и
životъ|животъ
sǫtъ|сѫтъ
nъ|нъ
sǫtъ|сѫтъ
otъ|отъ
vasъ|васъ
jeteri|ѥтери
jiže|иже
ne|не
věrujǫtъ|вѣроуѭтъ
věděaše|вѣдѣаше
bo|бо
jьskoni|искони
jisusъ|исоусъ
kъto|къто
sǫtъ|сѫтъ
ne|не
věrujǫћeji|вѣроуѭщеи
i|и
kъto|къто
jestъ|ѥстъ
xotęjь|хотѧи
perdati|прѣдати
i|и
i|и
golgolaaše|глаголааше
sego|сего
radi|ради
rěxъ|рѣхъ
vamъ|вамъ
ako|ако
nikъtože|никътоже
ne|не
možetъ|можетъ
prijьti|приити
kъ|къ
mъně|мънѣ
aћe|аще
ne|не
bǫdetъ|бѫдетъ
dano|дано
jemu|ѥмоу
otъ|отъ
boga|бога
mojego|моѥго
otъ|отъ
sego|сего
mъnogi|мъноѕи
otъ|отъ
učenikъ|оученикъ
jego|ѥго
jьdǫ|идѫ
vъspętь|въспѧть
i|и
kъ|къ
tomu|томоу
ne|не
|
﻿sъ|﻿съ
ńimь|н҄имь
reče|рече
že|же
jisusъ|исоусъ
oběma|обѣма
na|на
desęte|десѧте
jeda|ѥда
i|и
vy|въі
xoћete|хощете
jьti|ити
otъvěћǞ|отъвѣща
jemu|ѥмоу
simonъ|симонъ
petrъ|петръ
gospodi|господи
kъ|къ
komu|комоу
jьdemъ|идемъ
golgoly|глаголъі
života|живота
věčьnajego|вѣчьнаѥго
jьmaši|имаши
i|и
my|мъі
věrovaxomъ|вѣровахомъ
i|и
poznaxomъ|познахомъ
ako|ако
ty|тъі
jesi|ѥси
xristosъ|христосъ
synъ|съінъ
boga|бога
živajego|живаѥго
otъvěћǞ|отъвѣща
jimъ|имъ
jisusъ|исоусъ
ne|не
azъ|азъ
li|ли
vasъ|васъ
dъva|дъва
na|на
desęte|десѧте
jьzbьraxъ|избьрахъ
i|и
otъ|отъ
vasъ|васъ
jedinъ|ѥдинъ
dьjǞvolъ|диꙗволъ
jestъ|ѥстъ
golgolaaše|глаголааше
ijudǫ|июдѫ
simonova|симонова
iskarijota|искариота
sь|сь
bo|бо
xotěaše|хотѣаше
perdati|прѣдати
i|и
jedinъ|ѥдинъ
sy|съі
otъ|отъ
oboju|обою
na|на
desęte|десѧте
i|и
xoђǞaše|хождааше
﻿sъ|﻿съ
ńimi|н҄ими
jisusъ|исоусъ
vъ|въ
galileji|галилеи
ne|не
xotěaše|хотѣаше
bo|бо
vъ|въ
ijudeji|июдеи
xoditi|ходити
ako|ако
jьskaaxǫ|искаахѫ
jego|ѥго
ijudeji|июдеи
ubiti|оубити
bě|бѣ
že|же
blizъ|близъ
porzdьnikъ|праздьникъ
ijudejьskъ|июдеискъ
sḱinopiǵijǞ|ск҄инопиꙉиꙗ
rěšę|рѣшѧ
že|же
kъ|къ
ńemu|н҄емоу
bratrьjǞ|братриꙗ
jego|ѥго
per+jьdi|прѣиди
otъsǫdu|отъсѫдоу
i|и
jьdi|иди
vъ|въ
ijudeję|июдеѩ
do|до
i|и
učeniki|оученици
tvoji|твои
vidętъ|видѧтъ
děla|дѣла
tvojǞ|твоꙗ
jǞže|ꙗже
tvoriši|твориши
nikъtože|никътоже
bo|бо
vъ|въ
tajьně|таинѣ
ničesože|ничесоже
tvoritъ|творитъ
i|и
jьščetъ|ищетъ
samъ|самъ
avě|авѣ
byti|бъіти
aћe|аще
si|си
vьxa|вьсꙗ
tvoriši|твориши
avi|ави
sę|сѧ
vьxemu|вьсемоу
miru|мироу
ni|ни
bratrьjǞ|братриꙗ
bo|бо
věrovaaxǫ|вѣроваахѫ
vъ|въ
ńego|н҄его
golgola|глагола
že|же
jimъ|имъ
jisusъ|исоусъ
vermę|врѣмѧ
moje|моѥ
ne|не
ju|ю
prijьde|прииде
a|а
vermę|врѣмѧ
vaše|ваше
vьxegъda|вьсегъда
gotovo|готово
jestъ|ѥстъ
ne|не
možetъ|можетъ
mirъ|миръ
nenaviděti|ненавидѣти
vasъ|васъ
mene|мене
že|же
nenaviditъ|ненавидитъ
ako|ако
azъ|азъ
sъvěděteĺьstvujǫ|съвѣдѣтел҄ьствоуѭ
o|о
ńemь|н҄емь
ako|ако
děla|дѣла
jego|ѥго
zъla|зъла
sǫtъ|сѫтъ
vy|въі
vъziděte|възидѣте
vъ|въ
porzdьnikъ|праздьникъ
azъ|азъ
ne|не
vъzidǫ|възидѫ
vъ|въ
porzdьnikъ|праздьникъ
sь|сь
ako|ако
vermę|врѣмѧ
moje|моѥ
ne|не
jьspĺ̥ni|испльни
sę|сѧ
si|си
rekъ|рекъ
samъ|самъ
osta|оста
vъ|въ
galileji|галилеи
jegъda|ѥгъда
že|же
vъzidǫ|възидѫ
bratrьjǞ|братриꙗ
jego|ѥго
vъ|въ
porzdьnikъ|праздьникъ
tъgъda|тъгъда
i|и
samъ|самъ
vъzide|възиде
ne|не
avě|авѣ
nъ|нъ
ako|ако
taji|таи
ijudeji|июдеи
že|же
jego|ѥго
jьskaaxǫ|искаахѫ
vъ|въ
porzdьnikъ|праздьникъ
i|и
golgolaaxǫ|глаголаахѫ
kъde|къде
jestъ|ѥстъ
onъ|онъ
i|и
corrupted morphology tag|црароуптед мрапhологъі таг
mъnogъ|мъногъ
bě|бѣ
o|о
ńemь|н҄емь
vъ|въ
naroděxъ|народѣхъ
ovi|ови
golgolaaxǫ|глаголаахѫ
ako|ако
bolgъ|благъ
jestъ|ѥстъ
jьni|ини
že|же
golgolaaxǫ|глаголаахѫ
ni|ни
nъ|нъ
lьstitъ|льститъ
narody|народъі
nikotorъ|никоторъ
ubo|оубо
avě|авѣ
golgolaaše|глаголааше
o|о
ńemь|н҄емь
straxa|страха
radi|ради
ijudejьska|июдеиска
abьje|абиѥ
že|же
vъ|въ
perpolovĺenьje|прѣполовл҄ениѥ
porzdьnika|праздьница
vъzide|възиде
jisusъ|исоусъ
vъ|въ
kŕ̥kъve|црькъве
i|и
učǞaše|оучааше
i|и
divĺǞaxǫ|дивлꙗахѫ
sę|сѧ
ijudeji|июдеи
golgoĺǫћe|глаголѭще
kako|како
sь|сь
kъńigy|кън҄игъі
umějetъ|оумѣѥтъ
ne|не
učь|оучь
sę|сѧ
otъvěћǞ|отъвѣща
že|же
jisusъ|исоусъ
i|и
reče|рече
jimъ|имъ
moje|моѥ
učenьje|оучениѥ
něstъ|нѣстъ
moje|моѥ
nъ|нъ
posъlavъšǞjego|посълавъшаѥго
mę|мѧ
aћe|аще
kъto|къто
xoћetъ|хощетъ
voĺǫ|волѭ
jego|ѥго
tvoriti|творити
orzumějetъ|разоумѣѥтъ
o|о
učenьji|оучении
koje|коѥ
otъ|отъ
boga|бога
jestъ|ѥстъ
li|ли
azъ|азъ
sebě|себѣ
golgoĺǫ|глаголѭ
golgoĺęjь|глаголѩи
o|о
sebě|себѣ
slavy|славъі
svojeję|своѥѩ
jьščetъ|ищетъ
a|а
jьščęjь|ищѧи
slavy|славъі
posъlavъšǞjego|посълавъшаѥго
i|и
sь|сь
jьstinьnъ|истиньнъ
jestъ|ѥстъ
i|и
něstъ|нѣстъ
nepravьdy|неправьдъі
vъ|въ
ńemь|н҄емь
ne|не
mosijь|мосии
li|ли
dastъ|дастъ
vamъ|вамъ
zakonъ|законъ
i|и
|
otъ|отъ
vasъ|васъ
tvoritъ|творитъ
zakona|закона
čьto|чьто
mene|мене
jьščete|ищете
ubiti|оубити
otъvěћǞ|отъвѣща
narodъ|народъ
i|и
reče|рече
běsъ|бѣсъ
li|ли
jьmaši|имаши
kъto|къто
tebe|тебе
jьščetъ|ищетъ
ubiti|оубити
otъvěћǞ|отъвѣща
jisusъ|исоусъ
i|и
reče|рече
jimъ|имъ
jedino|ѥдино
dělo|дѣло
sъtvorixъ|сътворихъ
i|и
vьxi|вьси
divite|дивите
sę|сѧ
sego|сего
radi|ради
dastъ|дастъ
vamъ|вамъ
mosijь|мосии
obrězanьje|обрѣзаниѥ
ne|не
ako|ако
otъ|отъ
mosijǞ|мосиꙗ
jestъ|ѥстъ
nъ|нъ
otъ|отъ
otьkь|отьць
i|и
vъ|въ
sǫbotǫ|сѫботѫ
obrěžete|обрѣжете
čьlověka|чьловѣка
aћe|аще
obrězanьje|обрѣзаниѥ
prijemĺetъ|приѥмл҄етъ
čьlověkъ|чьловѣкъ
vъ|въ
sǫbotǫ|сѫботѫ
da|да
ne|не
orzoritъ|разоритъ
sę|сѧ
zakonъ|законъ
mosejovъ|мосеовъ
na|на
mę|мѧ
li|ли
gněvajete|гнѣваѥте
sę|сѧ
ako|ако
vьxego|вьсего
čьlověka|чьловѣка
sъdorva|съдрава
sъtvorixъ|сътворихъ
vъ|въ
sǫbotǫ|сѫботѫ
ne|не
sǫdite|сѫдите
na|на
lika|лица
nъ|нъ
pravьdьnъjь|правьдьнъіи
sǫdъ|сѫдъ
sǫdite|сѫдите
golgolaaxǫ|глаголаахѫ
že|же
jeteri|ѥтери
otъ|отъ
|
ne|не
sь|сь
li|ли
jestъ|ѥстъ
jegože|ѥгоже
jьščǫtъ|ищѫтъ
ubiti|оубити
i|и
se|се
ne|не
obvinuję|обиноуѩ
sę|сѧ
golgoĺetъ|глагол҄етъ
i|и
ničesože|ничесоже
jemu|ѥмоу
ne|не
golgoĺǫtъ|глаголѭтъ
jeda|ѥда
kako|како
orzuměšę|разоумѣшѧ
kъnęgi|кънѧѕи
ako|ако
sь|сь
jestъ|ѥстъ
xristosъ|христосъ
nъ|нъ
sego|сего
věmъ|вѣмъ
otъkǫdu|отъкѫдоу
sь|сь
jestъ|ѥстъ
a|а
xristosъ|христосъ
jegъda|ѥгъда
prijьdetъ|приидетъ
nikъtože|никътоже
ne|не
věstъ|вѣстъ
otъkǫdu|отъкѫдоу
jestъ|ѥстъ
vъzъva|възъва
že|же
vъ|въ
kŕ̥kъve|црькъве
učę|оучѧ
jisusъ|исоусъ
i|и
golgoĺę|глаголѩ
i|и
mene|мене
věste|вѣсте
i|и
věste|вѣсте
otъ|отъ
kǫdu|кѫдоу
jesmь|ѥсмь
i|и
o|о
sebě|себѣ
ne|не
prijьdъ|приидъ
nъ|нъ
jestъ|ѥстъ
jьstinьnъ|истиньнъ
posъlavъjь|посълавъіи
mę|мѧ
jegože|ѥгоже
vy|въі
ne|не
věste|вѣсте
azъ|азъ
i|и
věmь|вѣмь
kъ|къ
otъ|отъ
ńego|н҄его
jesmь|ѥсмь
i|и
tъ|тъ
mę|мѧ
posъla|посъла
jьskaaxǫ|искаахѫ
že|же
jęti|ѩти
i|и
i|и
nikъtože|никътоже
ne|не
vъzloži|възложи
rǫky|рѫкъі
na|на
ńь|н҄ь
ako|ако
ne|не
ju|ю
bě|бѣ
prišьdlъ|пришьлъ
godъ|годъ
jego|ѥго
otъ|отъ
naroda|народа
že|же
mъnogi|мъноѕи
věrovašę|вѣровашѧ
vъ|въ
ńь|н҄ь
i|и
golgolaaxǫ|глаголаахѫ
ako|ако
xristosъ|христосъ
jegъda|ѥгъда
prijьdetъ|приидетъ
jeda|ѥда
boĺьšǞ|бол҄ьша
znamenьjǞ|знамениꙗ
sъtvoritъ|сътворитъ
jǞže|ꙗже
jestъ|ѥстъ
sъtvorilъ|сътворилъ
slyšǞšę|слъішашѧ
že|же
fariseji|фарисеи
narodъ|народъ
rъpъћǫћь|ръпъщѫщь
o|о
ńemь|н҄емь
corrupted morphology tag|црароуптед мрапhологъі таг
i|и
posъlašę|посълашѧ
arъx́ijereji|аръхиѥреи
slugy|слоугъі
da|да
jьmǫtъ|имѫтъ
i|и
reče|рече
že|же
jisusъ|исоусъ
ješče|ѥще
malo|мало
vermę|врѣмѧ
﻿sъ|﻿съ
vami|вами
jesmь|ѥсмь
i|и
jьdǫ|идѫ
kъ|къ
corrupted morphology tag|црароуптед мрапhологъі таг
mę|мѧ
pojьščete|поищете
mene|мене
i|и
ne|не
obręћete|обрѧщете
jьdeže|идеже
jesmь|ѥсмь
azъ|азъ
vy|въі
ne|не
možete|можете
prijьti|приити
rěšę|рѣшѧ
že|же
ijudeji|июдеи
kъ|къ
sebě|себѣ
sami|сами
kamo|камо
xoћetъ|хощетъ
jьti|ити
i|и
učiti|оучити
jeliny|ѥлинъі
čьto|чьто
jestъ|ѥстъ
slovo|слово
se|се
ježe|ѥже
reče|рече
vъziščete|възищете
mene|мене
i|и
ne|не
obręћete|обрѧщете
i|и
jьdeže|идеже
jesmь|ѥсмь
azъ|азъ
vy|въі
ne|не
možete|можете
prijьti|приити
vъ|въ
poslědьńь|послѣдьн҄ь
že|же
dьnь|дьнь
velikъjь|великъіи
porzdьnikъ|праздьникъ
stojǞaše|стоꙗаше
jisusъ|исоусъ
i|и
zъvaaše|зъвааше
golgoĺę|глаголѩ
aћe|аще
kъto|къто
žęђetъ|жѧждетъ
da|да
prijьdetъ|приидетъ
kъ|къ
mъně|мънѣ
i|и
pьjetъ|пиѥтъ
i|и
věrujęjь|вѣроуѩи
vъ|въ
mę|мѧ
akože|акоже
kъńigy|кън҄игъі
rěšę|рѣшѧ
rěky|рѣкъі
otъ|отъ
červa|чрѣва
jego|ѥго
jьstekǫtъ|истекѫтъ
vody|водъі
živъjь|живъіи
se|се
že|же
reče|рече
o|о
duxě|доусѣ
jьže|иже
xotěaxǫ|хотѣахѫ
|
věrujǫћeji|вѣроуѭщеи
vъ|въ
ńego|н҄его
ne|не
ju|ю
bo|бо
bě|бѣ
duxъ|доухъ
svętъjь|свѧтъіи
danъ|данъ
ako|ако
jisusъ|исоусъ
ne|не
ju|ю
bě|бѣ
proslavĺenъ|прославл҄енъ
mъnogi|мъноѕи
že|же
otъ|отъ
naroda|народа
slyšǞvъše|слъішавъше
slovesa|словеса
si|си
golgolaaxǫ|глаголаахѫ
sь|сь
jestъ|ѥстъ
vъ|въ
jьstinǫ|истинѫ
prorokъ|пророкъ
drugi|дроуѕи
že|же
golgolaaxǫ|глаголаахѫ
sь|сь
jestъ|ѥстъ
xristosъ|христосъ
ovi|ови
že|же
golgolaaxǫ|глаголаахѫ
jeda|ѥда
otъ|отъ
galileję|галилеѩ
xristosъ|христосъ
prijьdetъ|приидетъ
ne|не
kъńigy|кън҄игъі
li|ли
rěšę|рѣшѧ
ako|ако
otъ|отъ
sěmene|сѣмене
davydova|давъідова
i|и
otъ|отъ
|
gordьkь|градьць
jьdeže|идеже
bě|бѣ
davydъ|давъідъ
prijьdetъ|приидетъ
xristosъ|христосъ
orspьŕǞ|распьрꙗ
že|же
by|бъі
vъ|въ
narodě|народѣ
jego|ѥго
radi|ради
jeteri|ѥтери
že|же
otъ|отъ
ńixъ|н҄ихъ
xotěaxǫ|хотѣахѫ
jęti|ѩти
i|и
nъ|нъ
nikъtože|никътоже
ne|не
vъzloži|възложи
na|на
ńь|н҄ь
rǫku|рѫкоу
prijьdǫ|приидѫ
že|же
slugy|слоугъі
kъ|къ
arъx́ijerejomъ|аръхиѥреомъ
i|и
farisejomъ|фарисеомъ
i|и
rěšę|рѣшѧ
jimъ|имъ
vy|въі
po|по
čьto|чьто
ne|не
|
jego|ѥго
otъvěћǞšę|отъвѣщашѧ
slugy|слоугъі
nikoliže|николиже
tako|тако
jestъ|ѥстъ
golgolъ|глаголъ
čьlověkъ|чьловѣкъ
ako|ако
sь|сь
čьlověkъ|чьловѣкъ
otъvěћǞšę|отъвѣщашѧ
jimъ|имъ
fariseji|фарисеи
nъ|нъ
narodъ|народъ
sь|сь
jьže|иже
ne|не
věstъ|вѣстъ
zakona|закона
proklęti|проклѧти
sǫtъ|сѫтъ
golgola|глагола
nikodimъ|никодимъ
kъ|къ
ńimъ|н҄имъ
prišьdъjь|пришьдъіи
kъ|къ
ńemu|н҄емоу
noћьjǫ|нощиѭ
jedinъ|ѥдинъ
sy|съі
otъ|отъ
ńixъ|н҄ихъ
jeda|ѥда
zakonъ|законъ
našь|нашь
sǫditъ|сѫдитъ
čьlověku|чьловѣкоу
aћe|аще
ne|не
slyšitъ|слъішитъ
otъ|отъ
ńego|н҄его
perђe|прѣжде
i|и
orzumějǫtъ|разоумѣѭтъ
čьto|чьто
tvoritъ|творитъ
otъvěћǞšę|отъвѣщашѧ
i|и
rěšę|рѣшѧ
jemu|ѥмоу
jeda|ѥда
ty|тъі
otъ|отъ
galileję|галилеѩ
jesi|ѥси
jьspytaji|испъітаи
i|и
i|и
viђь|виждь
ako|ако
otъ|отъ
galileję|галилеѩ
prorokъ|пророкъ
ne|не
prijьdetъ|приидетъ
i|и
jьde|иде
kъžьdo|къжьдо
vъ|въ
domъ|домъ
svojь|свои
|
že|же
jьde|иде
vъ|въ
gorǫ|горѫ
jeleonьskǫjǫ|ѥлеоньскѫѭ
utro|оутро
že|же
paky|пакъі
prijьde|прииде
vъ|въ
kŕ̥kъvь|црькъвь
i|и
vьxi|вьси
ĺudьje|людиѥ
jьděaxǫ|идѣахѫ
kъ|къ
ńemu|н҄емоу
i|и
sědъ|сѣдъ
učǞaše|оучааше
ję|ѩ
|
že|же
kъńižьniki|кън҄ижьници
i|и
fariseji|фарисеи
ženǫ|женѫ
vъ|въ
perĺubodějǞnьji|прѣлюбодѣꙗнии
jętǫ|ѩтѫ
i|и
|
jǫ|ѭ
|
golgolašę|глаголашѧ
jemu|ѥмоу
učiteĺu|оучителю
si|си
žena|жена
jęta|ѩта
jestъ|ѥстъ
nyně|нъінѣ
vъ|въ
perĺubodějǞnьji|прѣлюбодѣꙗнии
vъ|въ
zakoně|законѣ
namъ|намъ
mosijь|мосии
povelě|повелѣ
takovyję|таковъіѩ
kamenьjemь|камениѥмь
pobivati|побивати
ty|тъі
že|же
čьto|чьто
golgoĺeši|глагол҄еши
sь|сь
že|же
rěšę|рѣшѧ
jьskušǞjǫћe|искоушаѭще
i|и
da|да
bǫ|бѫ
jьměli|имѣли
na|на
ńь|н҄ь
čьto|чьто
golgolati|глаголати
jisusъ|исоусъ
že|же
nizъ|низъ
poklońь|поклон҄ь
sę|сѧ
pŕ̥stomь|прьстомь
|
na|на
zemĺi|земл҄и
ako|ако
že|же
priležǞaxǫ|прилежаахѫ
vъprašǞjǫћe|въпрашаѭще
i|и
vъskloni|въсклони
sę|сѧ
i|и
reče|рече
jimъ|имъ
jьže|иже
vasъ|васъ
bez|без
grěxa|грѣха
jestъ|ѥстъ
perђe|прѣжде
vŕ̥gi|врьѕи
kamenь|камень
na|на
ńǫ|нѭ
i|и
paky|пакъі
poklońь|поклон҄ь
sę|сѧ
|
na|на
zemĺi|земл҄и
slyšǞvъše|слъішавъше
jьsxoђǞaxǫ|исхождаахѫ
jedinъ|ѥдинъ
po|по
jedinomu|ѥдиномоу
načьnъ|начьнъ
otъ|отъ
starьkь|старьць
i|и
osta|оста
jedinъ|ѥдинъ
i|и
žena|жена
stojęћi|стоѩщи
|
vъsklońь|въсклон҄ь
že|же
sę|сѧ
jisusъ|исоусъ
reče|рече
jejь|ѥи
ženo|жено
kъde|къде
sǫtъ|сѫтъ
jiže|иже
na|на
tę|тѧ
vaђǞaxǫ|важдаахѫ
nikъjьže|никъіиже
li|ли
tebe|тебе
osǫdi|осѫди
ona|она
že|же
reče|рече
nikъtože|никътоже
gospodi|господи
reče|рече
že|же
jisusъ|исоусъ
ni|ни
azъ|азъ
tebe|тебе
osǫђǞjǫ|осѫждаѭ
jьdi|иди
i|и
otъselě|отъселѣ
ne|не
sъgrěšǞji|съгрѣшаи
kъ|къ
tomu|томоу
paky|пакъі
že|же
jimъ|имъ
reče|рече
jisusъ|исоусъ
golgoĺę|глаголѩ
azъ|азъ
jesmь|ѥсмь
světъ|свѣтъ
miru|мироу
xodęjь|ходѧи
po|по
mъně|мънѣ
ne|не
jьmatъ|иматъ
xoditi|ходити
vъ|въ
tьmě|тьмѣ
nъ|нъ
jьmatъ|иматъ
světa|свѣта
životьnajego|животьнаѥго
rěšę|рѣшѧ
že|же
jemu|ѥмоу
fariseji|фарисеи
ty|тъі
o|о
sebě|себѣ
samъ|самъ
sъvěděteĺьstvuješi|съвѣдѣтел҄ьствоуѥши
sъvěděteĺьstvo|съвѣдѣтел҄ьство
tvoje|твоѥ
něstъ|нѣстъ
jьstinьno|истиньно
otъvěћǞ|отъвѣща
jisusъ|исоусъ
i|и
reče|рече
jimъ|имъ
aћe|аще
azъ|азъ
sъvěděteĺьstvujǫ|съвѣдѣтел҄ьствоуѭ
o|о
mъně|мънѣ
samomь|самомь
sъvěděteĺьstvo|съвѣдѣтел҄ьство
moje|моѥ
něstъ|нѣстъ
jьstinьno|истиньно
jestъ|ѥстъ
ako|ако
věmь|вѣмь
otъkǫdu|отъкѫдоу
prijьdъ|приидъ
i|и
kamo|камо
grędǫ|грѧдѫ
i|и
kamo|камо
jьdǫ|идѫ
vy|въі
že|же
po|по
plъti|плъти
sǫdite|сѫдите
azъ|азъ
ne|не
sǫђǫ|сѫждѫ
nikomuže|никомоуже
aћe|аще
sǫђǫ|сѫждѫ
azъ|азъ
sǫdъ|сѫдъ
mojь|мои
jьstinьnъ|истиньнъ
jestъ|ѥстъ
ako|ако
jedinъ|ѥдинъ
něsmь|нѣсмь
nъ|нъ
azъ|азъ
i|и
posъlavъjь|посълавъіи
mę|мѧ
otьkь|отьць
i|и
vъ|въ
zakoně|законѣ
že|же
vašemь|вашемь
|
jestъ|ѥстъ
ako|ако
dъvoju|дъвою
čьlověku|чьловѣкоу
sъvěděteĺьstvo|съвѣдѣтел҄ьство
jьstinьno|истиньно
jestъ|ѥстъ
azъ|азъ
jesmь|ѥсмь
sъvěděteĺьstvujęjь|съвѣдѣтел҄ьствоуѩи
o|о
mъně|мънѣ
samomь|самомь
i|и
sъvěděteĺьstvujetъ|съвѣдѣтел҄ьствоуѥтъ
o|о
mъně|мънѣ
posъlavъjь|посълавъіи
mę|мѧ
otьkь|отьць
golgolaaxǫ|глаголаахѫ
že|же
jemu|ѥмоу
kъde|къде
jestъ|ѥстъ
otьkь|отьць
tvojь|твои
otъvěћǞ|отъвѣща
jisusъ|исоусъ
ni|ни
mene|мене
věste|вѣсте
ni|ни
boga|бога
|
aћe|аще
mę|мѧ
bite|бите
věděli|вѣдѣли
i|и
boga|бога
mojego|моѥго
ubo|оубо
bite|бите
věděli|вѣдѣли
sьję|сиѩ
golgoly|глаголъі
golgola|глагола
vъ|въ
gazofilaḱiji|газофилак҄ии
učę|оучѧ
vъ|въ
kŕ̥kъve|црькъве
i|и
nikъtože|никътоже
ne|не
jьmetъ|иметъ
jego|ѥго
ako|ако
ne|не
ju|ю
bě|бѣ
|
godina|година
jego|ѥго
reče|рече
že|же
jimъ|имъ
paky|пакъі
jisusъ|исоусъ
azъ|азъ
jьdǫ|идѫ
i|и
vъziščete|възищете
mene|мене
i|и
vъ|въ
grěxě|грѣсѣ
vašemь|вашемь
umьrete|оумьрете
amože|аможе
azъ|азъ
jьdǫ|идѫ
vy|въі
ne|не
možete|можете
prijьti|приити
golgolaaxǫ|глаголаахѫ
že|же
ijudeji|июдеи
jeda|ѥда
sę|сѧ
samъ|самъ
ubьjetъ|оубиѥтъ
ako|ако
golgoĺetъ|глагол҄етъ
amože|аможе
azъ|азъ
jьdǫ|идѫ
vy|въі
ne|не
možete|можете
prijьti|приити
azъ|азъ
otъ|отъ
vyšьńьjixъ|въішьн҄иихъ
jesmь|ѥсмь
vy|въі
otъ|отъ
vьxego|вьсего
mira|мира
jeste|ѥсте
azъ|азъ
něsmь|нѣсмь
otъ|отъ
vьxego|вьсего
mira|мира
rěxъ|рѣхъ
ubo|оубо
ako|ако
umьrete|оумьрете
vъ|въ
grěxěxъ|грѣсѣхъ
vašixъ|вашихъ
aћe|аще
bo|бо
věry|вѣръі
ne|не
jemĺete|ѥмл҄ете
azъ|азъ
jesmь|ѥсмь
umьrete|оумьрете
vъ|въ
grěxěxъ|грѣсѣхъ
vašixъ|вашихъ
golgolaaxǫ|глаголаахѫ
že|же
jemu|ѥмоу
ty|тъі
kъto|къто
jesi|ѥси
i|и
reče|рече
jimъ|имъ
jisusъ|исоусъ
načętъkъ|начѧтъкъ
ako|ако
i|и
golgoĺǫ|глаголѭ
vamъ|вамъ
mъnogo|мъного
jьmamь|имамь
o|о
vasъ|васъ
golgolati|глаголати
i|и
sǫditi|сѫдити
nъ|нъ
posъlavъjь|посълавъіи
mę|мѧ
jьstinьnъ|истиньнъ
jestъ|ѥстъ
i|и
azъ|азъ
jǞže|ꙗже
slyšǞxъ|слъішахъ
otъ|отъ
ńego|н҄его
si|си
golgoĺǫ|глаголѭ
vъ|въ
mirě|мирѣ
i|и
ne|не
orzuměšę|разоумѣшѧ
ako|ако
boga|бога
jimъ|имъ
golgolaaše|глаголааше
boga|бога
reče|рече
že|же
jimъ|имъ
jisusъ|исоусъ
jegъda|ѥгъда
corrupted morphology tag|црароуптед мрапhологъі таг
syna|съіна
čьlověčьskajego|чьловѣчьскаѥго
tъgъda|тъгъда
orzumějete|разоумѣѥте
ako|ако
azъ|азъ
jesmь|ѥсмь
i|и
o|о
sebě|себѣ
ničesože|ничесоже
ne|не
tvoŕǫ|творѭ
nъ|нъ
akože|акоже
nauči|наоучи
mę|мѧ
otьkь|отьць
si|си
golgoĺǫ|глаголѭ
i|и
posъlavъjь|посълавъіи
mę|мѧ
﻿sъ|﻿съ
mъnojǫ|мъноѭ
jestъ|ѥстъ
ne|не
ostavi|остави
mene|мене
jedinogo|ѥдиного
otьkь|отьць
ako|ако
azъ|азъ
