sapogu|сапогоу
vъ|въ
ǫtrobǫ|ѫтробѫ
vъlěsti|вълѣсти
matere|матере
svojeję|своѥѩ
i|и
roditi|родити
sę|сѧ
otъvěћǞ|отъвѣща
jisusъ|исоусъ
aminь|аминь
aminь|аминь
golgoĺǫ|глаголѭ
tebě|тебѣ
aћe|аще
kъto|къто
ne|не
roditъ|родитъ
sę|сѧ
vodojǫ|водоѭ
i|и
duxomь|доухомь
ne|не
možetъ|можетъ
vъniti|вънити
vъ|въ
kěsaŕьstvьje|цѣсар҄ьствиѥ
božьje|божиѥ
|
otъ|отъ
plъti|плъти
plъtь|плъть
jestъ|ѥстъ
i|и
|
otъ|отъ
duxa|доуха
duxъ|доухъ
jestъ|ѥстъ
ne|не
čudi|чоуди
sę|сѧ
ako|ако
rěxъ|рѣхъ
tebě|тебѣ
podobajetъ|подобаѥтъ
vamъ|вамъ
roditi|родити
sę|сѧ
sъvyše|съвъіше
duxъ|доухъ
jьdeže|идеже
xoћetъ|хощетъ
dušetъ|доушетъ
i|и
golsъ|гласъ
jego|ѥго
slyšiši|слъішиши
nъ|нъ
ne|не
věsi|вѣси
otъkǫdu|отъкѫдоу
prixoditъ|приходитъ
i|и
kamo|камо
jьdetъ|идетъ
tako|тако
jestъ|ѥстъ
roђenъjь|рожденъіи
otъ|отъ
duxa|доуха
otъvěћǞ|отъвѣща
nikodimъ|никодимъ
i|и
reče|рече
jemu|ѥмоу
kako|како
mogǫtъ|могѫтъ
si|си
byti|бъіти
otъvěћǞ|отъвѣща
jisusъ|исоусъ
i|и
reče|рече
jemu|ѥмоу
ty|тъі
jesi|ѥси
učiteĺь|оучител҄ь
jizrajiĺevъ|издраил҄евъ
i|и
sixъ|сихъ
li|ли
ne|не
věsi|вѣси
aminь|аминь
aminь|аминь
golgoĺǫ|глаголѭ
tebě|тебѣ
ako|ако
ježe|ѥже
věmъ|вѣмъ
golgoĺemъ|глагол҄емъ
i|и
ježe|ѥже
dastъ|дастъ
vъ|въ
rǫkě|рѫцѣ
jego|ѥго
věrujęjь|вѣроуѩи
vъ|въ
syna|съіна
jьmatъ|иматъ
životъ|животъ
věčьnъjь|вѣчьнъіи
a|а
jьže|иже
ne|не
věrujetъ|вѣроуѥтъ
vъ|въ
syna|съіна
ne|не
uzьritъ|оузьритъ
života|живота
nъ|нъ
gněvъ|гнѣвъ
božьjь|божии
perbyvajetъ|прѣбъіваѥтъ
na|на
ńemь|н҄емь
jegъda|ѥгъда
že|же
uslyšǞ|оуслъіша
gospodь|господь
kъ|къ
