сапогоу|sapogu
ѣдꙙи|jǢdyjь
хлѣбъ|xlěbъ
сь|sь
живъ|živъ
бѫдетъ|bǫdetъ
въ|vъ
вѣкъ|věkъ
си|si
рече|reče
на|na
сънъмишти|sъnьmišči
оучѧ|učę
въ|vъ
каперънаоумѣ|kaperъnaumě
мноѕи|mъnogi
же|že
слꙑшавъшеи|slyšǢvъšeji
отъ|otъ
оученикъ|učenikъ
его|jego
рѣшѧ|rěšę
жестоко|žestoko
естъ|jestъ
слово|slovo
се|se
къто|kъto
можетъ|možetъ
его|jego
слоушати|slušǢti
Вѣдꙑ|vědy
же|že
и҃с|jisusъ
вь|vъ
себѣ|sebě
ѣко|ako
ръпъштѫтъ|rъpъћǫtъ
о|o
семь|semь
оученици|učeniki
его|jego
рече|reče
ꙇмъ|jimъ
се|se
ли|li
вꙑ|vy
блазнитъ|blaznitъ
Аште|aћe
оубо|ubo
оузьрите|uzьrite
с҃на|syna
ч҃скаго|čьlověčьskajego
въходѧшта|vъxodęћǢ
ꙇдеже|jьdeže
бѣ|bě
прѣжде|perђe
Д҃хъ|duxъ
естъ|jestъ
ꙇже|jьže
жив[е]тъ|živitъ
отъ|otъ
плъти|plъti
нѣстъ|něstъ
пользѧ|polьgę
никакоѩже|
г҃лꙑ|golgoly
ѩже|jęže
азъ|azъ
г҃лахъ|golgolaxъ
вамъ|vamъ
д҃хъ|duxъ
сѫтъ|sǫtъ
ꙇ|i
животъ|životъ
сѫтъ|sǫtъ
нъ|nъ
сѫтъ|sǫtъ
отъ|otъ
васъ|vasъ
етери|jeteri
ꙇже|jiže
не|ne
вѣроуѭтъ|věrujǫtъ
Вѣдѣаше|věděaše
бо|bo
ꙇскони|jьskoni
ꙇ҃с|jisusъ
къто|kъto
сѫтъ|sǫtъ
не|ne
вѣроуѭштеі|věrujǫћeji
ꙇ|i
къто|kъto
естъ|jestъ
хотѧі|xotęjь
прѣдати|perdati
і|i
ꙇ|i
г҃лааше|golgolaaše
сего|sego
ради|radi
рѣхъ|rěxъ
вамъ|vamъ
ѣко|ako
никътоже|nikъtože
не|ne
можетъ|možetъ
прити|prijьti
къ|kъ
мьнѣ|mъně
аште|aћe
не|ne
бѫдетъ|bǫdetъ
дано|dano
емоу|jemu
отъ|otъ
о҃ца|boga
моего|mojego
отъ|otъ
сего|sego
мнози|mъnogi
отъ|otъ
оученикъ|učenikъ
его|jego
ꙇдѫ|jьdǫ
вьспѧть|vъspętь
ꙇ|i
къ|kъ
томоу|tomu
не|ne
хождахѫ|
съ|﻿sъ
н҄имь|ńimь
Рече|reče
же|že
и҃с|jisusъ
обѣма|oběma
на|na
десѧте|desęte
еда|jeda
ꙇ|i
вꙑ|vy
хоштете|xoћete
ꙇти|jьti
отъвѣшта|otъvěћǢ
емоу|jemu
симонъ|simonъ
петръ|petrъ
г҃и|gospodi
къ|kъ
комоу|komu
ꙇдемъ|jьdemъ
г҃лꙑ|golgoly
живота|života
вѣчьнаего|věčьnajego
ꙇмаши|jьmaši
ꙇ|i
мꙑ|my
вѣровахомъ|věrovaxomъ
ꙇ|i
познахомъ|poznaxomъ
ѣко|ako
тꙑ|ty
еси|jesi
х҃ъ|xristosъ
с҃нъ|synъ
б҃а|boga
живаго|živajego
отъвѣшта|otъvěћǢ
ꙇмъ|jimъ
и҃с|jisusъ
не|ne
азъ|azъ
ли|li
васъ|vasъ
дъва|dъva
на|na
десѧте|desęte
ꙇзбърахъ|jьzbьraxъ
ꙇ|i
отъ|otъ
васъ|vasъ
единъ|jedinъ
диѣволъ|dьjǢvolъ
естъ|jestъ
Г҃лааше|golgolaaše
ꙇюдѫ|ijudǫ
симонова|simonova
ꙇскариота|iskarijota
сь|sь
бо|bo
хотѣаше|xotěaše
прѣдати|perdati
і|i
единъ|jedinъ
сꙑ|sy
отъ|otъ
обою|oboju
на|na
десѧте|desęte
ꙇ|i
хождааше|xoђǢaše
съ|﻿sъ
н҄ими|ńimi
ꙇ҃с|jisusъ
въ|vъ
галилеи|galileji
не|ne
хотѣаше|xotěaše
бо|bo
въ|vъ
ꙇюдѣи|ijudeji
ходити|xoditi
ѣко|ako
ꙇскаахѫ|jьskaaxǫ
его|jego
ꙇюдеі|ijudeji
оубити|ubiti
бѣ|bě
же|že
близъ|blizъ
праздьникъ|porzdьnikъ
ꙇюдеꙇскъ|ijudejьskъ
скинопигиѣ|sḱinopiǵijǢ
рѣшѧ|rěšę
же|že
къ|kъ
н҄емоу|ńemu
братриѣ|bratrьjǢ
его|jego
прѣꙇди|per+jьdi
отъсѫдоу|otъsǫdu
ꙇ|i
иди|jьdi
въ|vъ
ꙇюдеѩ|ijudeję
до|do
ꙇ|i
оученици|učeniki
твоі|tvoji
видѧтъ|vidętъ
дѣла|děla
твоѣ|tvojǢ
ѣже|jǢže
твориши|tvoriši
никътоже|nikъtože
бо|bo
въ|vъ
таꙇнѣ|tajьně
ничесоже|ničesože
творитъ|tvoritъ
ꙇ|i
иштетъ|jьščetъ
самъ|samъ
ѣвѣ|avě
бꙑти|byti
аште|aћe
си|si
всѣ|vьxa
твориши|tvoriši
ѣви|avi
сѧ|sę
вьсемоу|vьxemu
мироу|miru
ни|ni
братиѣ|bratrьjǢ
бо|bo
вѣровахѫ|věrovaaxǫ
вь|vъ
н҄его|ńego
г҃ла|golgola
же|že
ꙇмъ|jimъ
и҃с|jisusъ
врѣмѧ|vermę
мое|moje
не|ne
оу|ju
приде|prijьde
а|a
врѣмѧ|vermę
ваше|vaše
вьсегда|vьxegъda
готово|gotovo
естъ|jestъ
не|ne
можетъ|možetъ
миръ|mirъ
ненавидѣти|nenaviděti
васъ|vasъ
мене|mene
же|že
ненавидитъ|nenaviditъ
ѣко|ako
азъ|azъ
съвѣдѣтел҄ьствоуѭ|sъvěděteĺьstvujǫ
о|o
н҄емь|ńemь
ѣко|ako
дѣла|děla
его|jego
зъла|zъla
сѫтъ|sǫtъ
вꙑ|vy
вьзидѣте|vъziděte
въ|vъ
праздьникось|porzdьnikъ
Азъ|azъ
не|ne
вьзидѫ|vъzidǫ
въ|vъ
праздьникъ|porzdьnikъ
сь|sь
ѣко|ako
врѣмѧ|vermę
мое|moje
не|ne
ꙇсплъни|jьspĺ̥ni
сѧ|sę
си|si
рекъ|rekъ
самъ|samъ
оста|osta
въ|vъ
галилеі|galileji
егда|jegъda
же|že
вьзидѫ|vъzidǫ
братриѣ|bratrьjǢ
его|jego
въ|vъ
праздьникъ|porzdьnikъ
тогда|tъgъda
ꙇ|i
самъ|samъ
вьзиде|vъzide
не|ne
ѣвѣ|avě
нъ|nъ
ако|ako
таі|taji
ꙇюдеі|ijudeji
же|že
его|jego
ꙇскахѫ|jьskaaxǫ
въ|vъ
праздьникъ|porzdьnikъ
ꙇ|i
г҃лахѫ|golgolaaxǫ
къде|kъde
естъ|jestъ
онъ|onъ
ꙇ|i
ръпътъ|corrupted morphology tag
мъногъ|mъnogъ
бѣ|bě
о|o
н҄емь|ńemь
въ|vъ
народѣхъ|naroděxъ
ови|ovi
г҃лахѫ|golgolaaxǫ
ѣко|ako
благъ|bolgъ
естъ|jestъ
ꙇни|jьni
же|že
г҃лахѫ|golgolaaxǫ
ни|ni
нъ|nъ
льститъ|lьstitъ
народꙑ|narody
никотерꙑ же|nikotorъ
оубо|ubo
ѣвѣ|avě
г҃лаше|golgolaaše
о|o
н҄емь|ńemь
страха|straxa
ради|radi
ꙇюдеꙇска|ijudejьska
Абие|abьje
же|že
въ|vъ
прѣполовл҄ение|perpolovĺenьje
праздьника|porzdьnika
вьзиде|vъzide
и҃с|jisusъ
въ|vъ
цръкъве|kŕ̥kъve
ꙇ|i
оучааше|učǢaše
ꙇ|i
дивл҄ѣахѫ|divĺǢaxǫ
сѧ|sę
ꙇюдеи|ijudeji
г҃л҄ѭште|golgoĺǫћe
како|kako
сь|sь
кън҄игꙑ|kъńigy
оумѣетъ|umějetъ
не|ne
оучь|učь
сѧ|sę
отъвѣшта|otъvěћǢ
же|že
и҃с|jisusъ
ꙇ|i
рече|reče
ꙇмъ|jimъ
мое|moje
оучение|učenьje
нѣстъ|něstъ
мое|moje
нъ|nъ
посълавъшаего|posъlavъšǢjego
мѧ|mę
аште|aћe
къто|kъto
хоштетъ|xoћetъ
вол҄ѭ|voĺǫ
его|jego
творити|tvoriti
разоумѣетъ|orzumějetъ
о|o
оучени|učenьji
кое|koje
отъ|otъ
б҃а|boga
естъ|jestъ
ли|li
азъ|azъ
себѣ|sebě
г҃л҄ѭ|golgoĺǫ
г҃лѧи|golgoĺęjь
о|o
себѣ|sebě
славꙑ|slavy
своеѩ|svojeję
ꙇштетъ|jьščetъ
а|a
ꙇштѧі|jьščęjь
славꙑ|slavy
посълавъшаего|posъlavъšǢjego
і|i
сь|sь
ꙇстиненъ|jьstinьnъ
естъ|jestъ
ꙇ|i
нѣстъ|něstъ
неправъдꙑ|nepravьdy
вь|vъ
н҄емь|ńemь
не|ne
моси|mosijь
ли|li
дастъ|dastъ
вамъ|vamъ
законъ|zakonъ
ꙇ|i
никътозе|
отъ|otъ
васъ|vasъ
творитъ|tvoritъ
закона|zakona
Чьто|čьto
мене|mene
ꙇштете|jьščete
оубити|ubiti
отъвѣшта|otъvěћǢ
народъ|narodъ
ꙇ|i
рече|reče
бѣсъ|běsъ
ли|li
ꙇмаши|jьmaši
къто|kъto
тебе|tebe
ꙇштетъ|jьščetъ
оубити|ubiti
отъвѣшта|otъvěћǢ
и҃с|jisusъ
ꙇ|i
рече|reče
ꙇмъ|jimъ
едино|jedino
дѣло|dělo
сътворихъ|sъtvorixъ
ꙇ|i
вьси|vьxi
дивите|divite
сѧ|sę
сего|sego
ради|radi
дастъ|dastъ
вамъ|vamъ
моси|mosijь
обрѣзание|obrězanьje
не|ne
ѣко|ako
отъ|otъ
мосѣа|mosijǢ
естъ|jestъ
нъ|nъ
отъ|otъ
о҃ць|otьkь
ꙇ|i
въ|vъ
сѫботѫ|sǫbotǫ
обрѣзаете|obrěžete
ч҃ка|čьlověka
Аште|aћe
обрѣзание|obrězanьje
приемл҄етъ|prijemĺetъ
ч҃къ|čьlověkъ
въ|vъ
сѫботѫ|sǫbotǫ
да|da
не|ne
разоритъ|orzoritъ
сѧ|sę
законъ|zakonъ
мосѣовъ|mosejovъ
на|na
мѧ|mę
ли|li
гнѣваете|gněvajete
сѧ|sę
ѣко|ako
вьсего|vьxego
ч҃ка|čьlověka
съдрава|sъdorva
сътворихъ|sъtvorixъ
въ|vъ
сѫботѫ|sǫbotǫ
не|ne
сѫдите|sǫdite
на|na
лица|lika
нъ|nъ
правьдьнꙑ|pravьdьnъjь
сѫдъ|sǫdъ
сѫдите|sǫdite
г҃лахѫ|golgolaaxǫ
же|že
етериі|jeteri
отъ|otъ
ꙇ҃илмлѣнъ|
не|ne
сь|sь
ли|li
естъ|jestъ
егоже|jegože
ꙇштѫтъ|jьščǫtъ
оубити|ubiti
ꙇ|i
се|se
не|ne
обиноуѩ|obvinuję
сѧ|sę
г҃летъ|golgoĺetъ
ꙇ|i
ничесоже|ničesože
емоу|jemu
не|ne
г҃лѭтъ|golgoĺǫtъ
еда|jeda
како|kako
разоумѣшѧ|orzuměšę
кънѧзи|kъnęgi
ѣко|ako
сь|sь
естъ|jestъ
х҃ъ|xristosъ
нъ|nъ
сего|sego
вѣмъ|věmъ
отъкѫдоу|otъkǫdu
сь|sь
естъ|jestъ
а|a
х҃ъ|xristosъ
егда|jegъda
придетъ|prijьdetъ
Никътоже|nikъtože
не|ne
вѣстъ|věstъ
отъкѫдоу|otъkǫdu
естъ|jestъ
възъва|vъzъva
же|že
въ|vъ
цръкъве|kŕ̥kъve
оучѧ|učę
и҃с|jisusъ
ꙇ|i
г҃лѧ|golgoĺę
ꙇ|i
мене|mene
вѣсте|věste
ꙇ|i
вѣсте|věste
отъ|otъ
кѫдоу|kǫdu
есмь|jesmь
ꙇ|i
о|o
себѣ|sebě
не|ne
придъ|prijьdъ
нъ|nъ
естъ|jestъ
ꙇстиньнъ|jьstinьnъ
посълавꙑ|posъlavъjь
мѧ|mę
егоже|jegože
вꙑ|vy
не|ne
вѣсте|věste
азъ|azъ
и|i
вѣмь|věmь
ко|kъ
отъ|otъ
н҄его|ńego
есмь|jesmь
ꙇ|i
тъ|tъ
мѧ|mę
посъла|posъla
ꙇскахѫ|jьskaaxǫ
же|že
ѩти|jęti
і|i
ꙇ|i
никътоже|nikъtože
не|ne
възложи|vъzloži
рѫкꙑ|rǫky
на|na
н҄ь|ńь
ѣко|ako
не|ne
ю|ju
бѣ|bě
пришьлъ|prišьdlъ
годъ|godъ
его|jego
Ѡтъ|otъ
народа|naroda
же|že
мнози|mъnogi
вѣровашѧ|věrovašę
въ|vъ
нь|ńь
ꙇ|i
г҃лахѫ|golgolaaxǫ
ѣко|ako
х҃ъ|xristosъ
егда|jegъda
придетъ|prijьdetъ
еда|jeda
больша|boĺьšǢ
знамениѣ|znamenьjǢ
сътворитъ|sъtvoritъ
ѣже|jǢže
естъ|jestъ
сътворилъ|sъtvorilъ
слꙑшашѧ|slyšǢšę
же|že
фарисѣі|fariseji
народъ|narodъ
ръпъштѫшть|rъpъћǫћь
о|o
н҄емь|ńemь
се|corrupted morphology tag
Ꙇ|i
посълашѧ|posъlašę
архиереі|arъx́ijereji
слоугꙑ|slugy
да|da
ꙇмѫтъ|jьmǫtъ
і|i
Рече|reče
же|že
и҃с|jisusъ
еште|ješče
мало|malo
врѣмѧ|vermę
съ|﻿sъ
вами|vami
есмь|jesmь
ꙇ|i
идѫ|jьdǫ
къ|kъ
посълавъшюемоу|corrupted morphology tag
мѧ|mę
Поꙇштете|pojьščete
мене|mene
ꙇ|i
не|ne
обрѧштете|obręћete
ꙇдеже|jьdeže
есмь|jesmь
азъ|azъ
вꙑ|vy
не|ne
можете|možete
прити|prijьti
рѣшѧ|rěšę
же|že
ꙇюдеі|ijudeji
къ|kъ
себѣ|sebě
сами|sami
камо|kamo
хоштетъ|xoћetъ
ꙇти|jьti
ꙇ|i
оучити|učiti
елинꙑ|jeliny
Чьто|čьto
естъ|jestъ
слово|slovo
се|se
еже|ježe
рече|reče
вьзиштете|vъziščete
мене|mene
ꙇ|i
не|ne
обрѧштете|obręћete
ꙇ|i
идеже|jьdeže
есмь|jesmь
азъ|azъ
вꙑ|vy
не|ne
можете|možete
прити|prijьti
въ|vъ
послѣдьни|poslědьńь
же|že
дьнь|dьnь
великꙑ|velikъjь
праздьникъ|porzdьnikъ
стоѣаше|stojǢaše
и҃с|jisusъ
ꙇ|i
зъваше|zъvaaše
г҃лѧ|golgoĺę
аште|aћe
къто|kъto
жѧждетъ|žęђetъ
да|da
придетъ|prijьdetъ
къ|kъ
мьнѣ|mъně
ꙇ|i
пиетъ|pьjetъ
ꙇ|i
вѣроуѩі|věrujęjь
въ|vъ
мѧ|mę
ѣкоже|akože
кън҄игꙑ|kъńigy
рѣшѧ|rěšę
рѣкꙑ|rěky
отъ|otъ
чрѣва|červa
его|jego
ꙇстекѫтъ|jьstekǫtъ
водꙑ|vody
живꙑ|živъjь
се|se
же|že
рече|reče
о|o
д҃сѣ|duxě
ꙇже|jьže
хотѣхѫ|xotěaxǫ
приемати|
вѣроуѭштеі|věrujǫћeji
вь|vъ
н҄его|ńego
не|ne
ю|ju
бо|bo
бѣ|bě
д҃хъ|duxъ
с҃тꙑ|svętъjь
данъ|danъ
ѣко|ako
и҃с|jisusъ
не|ne
ю|ju
бѣ|bě
прославл҄енъ|proslavĺenъ
Мнози|mъnogi
же|že
отъ|otъ
народа|naroda
слꙑшавъше|slyšǢvъše
словеса|slovesa
си|si
г҃лахѫ|golgolaaxǫ
сь|sь
естъ|jestъ
въ|vъ
ꙇстинѫ|jьstinǫ
пророкъ|prorokъ
Дроузи|drugi
же|že
г҃лахѫ|golgolaaxǫ
сь|sь
естъ|jestъ
х҃ъ|xristosъ
ови|ovi
же|že
г҃лахѫ|golgolaaxǫ
еда|jeda
отъ|otъ
галилеѩ|galileję
х҃ъ|xristosъ
придетъ|prijьdetъ
не|ne
кънигꙑ|kъńigy
ли|li
рѣшѧ|rěšę
ѣко|ako
отъ|otъ
сѣмене|sěmene
д҃ава|davydova
ꙇ|i
отъ|otъ
витьлеомьскаго|
градьца|gordьkь
ꙇдеже|jьdeže
бѣ|bě
д҃адъ|davydъ
придетъ|prijьdetъ
х҃ъ|xristosъ
Распьрѣ|orspьŕǢ
же|že
бꙑс|by
въ|vъ
народѣ|narodě
его|jego
ради|radi
Етеріи|jeteri
же|že
отъ|otъ
н҄ихъ|ńixъ
хотѣахѫ|xotěaxǫ
ѩти|jęti
і|i
нъ|nъ
никътоже|nikъtože
не|ne
възложи|vъzloži
на|na
н҄ь|ńь
рѫкоу|rǫku
Придѫ|prijьdǫ
же|že
слоугꙑ|slugy
къ|kъ
архиереомъ|arъx́ijerejomъ
ꙇ|i
фарисеомъ|farisejomъ
Ꙇ|i
рѣшѧ|rěšę
ꙇмъ|jimъ
ти|vy
по|po
чьто|čьto
не|ne
привѣсте|
его|jego
отъвѣшташѧ|otъvěћǢšę
слоугꙑ|slugy
николиже|nikoliže
тако|tako
естъ|jestъ
г҃лъ|golgolъ
ч҃къ|čьlověkъ
ѣко|ako
сь|sь
ч҃къ|čьlověkъ
отъвѣшташѧ|otъvěћǢšę
ꙇмъ|jimъ
фарисѣі|fariseji
нъ|nъ
народо|narodъ
сь|sь
ꙇже|jьže
не|ne
вѣстъ|věstъ
закона|zakona
проклѧти|proklęti
сѫтъ|sǫtъ
г҃ла|golgola
никодимъ|nikodimъ
къ|kъ
н҄имъ|ńimъ
пришедꙑ|prišьdъjь
къ|kъ
н҄емоу|ńemu
ноштиѭ|noћьjǫ
единъ|jedinъ
сꙑ|sy
отъ|otъ
н҄ихъ|ńixъ
еда|jeda
законъ|zakonъ
нашь|našь
сѫдитъ|sǫditъ
ч҃коу|čьlověku
аште|aћe
не|ne
слꙑшитъ|slyšitъ
отъ|otъ
н҄его|ńego
прѣжде|perђe
ꙇ|i
разоумѣѭтъ|orzumějǫtъ
чьто|čьto
творитъ|tvoritъ
отъвѣшташѧ|otъvěћǢšę
ꙇ|i
рѣшѧ|rěšę
емоу|jemu
еда|jeda
тꙑ|ty
отъ|otъ
галилеѩ|galileję
еси|jesi
ꙇспꙑтаи|jьspytaji
і|i
ꙇ|i
виждь|viђь
ѣко|ako
отъ|otъ
галилеѩ|galileję
пророкъ|prorokъ
не|ne
придетъ|prijьdetъ
ꙇ|i
иде|jьde
къжьдо|kъžьdo
въ|vъ
домъ|domъ
своі|svojь
Ꙇ҃ис|
же|že
ꙇде|jьde
въ|vъ
горѫ|gorǫ
елеоньскѫѭ|jeleonьskǫjǫ
ютро|utro
же|že
пакꙑ|paky
приде|prijьde
въ|vъ
цръковь|kŕ̥kъvь
ꙇ|i
вси|vьxi
л҄юдие|ĺudьje
ꙇдѣахѫ|jьděaxǫ
къ|kъ
н҄емоу|ńemu
ꙇ|i
сѣдъ|sědъ
оучааше|učǢaše
ѩ|ję
привѣсѧ|
же|že
кънижьници|kъńižьniki
ꙇ|i
фарисѣи|fariseji
женѫ|ženǫ
въ|vъ
прѣл҄юбодѣани|perĺubodějǢnьji
ѩтѫ|jętǫ
ꙇ|i
поставльше|
ѭ|jǫ
посрѣдѣ|
г҃лашѧ|golgolašę
емоу|jemu
оучител҄ю|učiteĺu
си|si
жена|žena
ѩта|jęta
естъ|jestъ
нꙑн҄ѣ|nyně
въ|vъ
прѣл҄юбодѣаниі|perĺubodějǢnьji
въ|vъ
законѣ|zakoně
намъ|namъ
моси|mosijь
повелѣ|povelě
таковꙑѩ|takovyję
камениемь|kamenьjemь
побивати|pobivati
тꙑ|ty
же|že
чьто|čьto
г҃леши|golgoĺeši
се|sь
же|že
рѣшѧ|rěšę
ꙇскоушаѭште|jьskušǢjǫћe
и|i
да|da
бѫ|bǫ
ꙇмѣли|jьměli
на|na
н҄ь|ńь
чьто|čьto
г҃лати|golgolati
и҃с|jisusъ
же|že
низъ|nizъ
поклонь|poklońь
сѧ|sę
прьстомь|pŕ̥stomь
писаше|
на|na
земи|zemĺi
ѣко|ako
же|že
прилежахѫ|priležǢaxǫ
въпрашаѭште|vъprašǢjǫћe
і|i
въсклони|vъskloni
сѧ|sę
ꙇ|i
рече|reče
ꙇмъ|jimъ
ꙇже|jьže
васъ|vasъ
без|bez
грѣха|grěxa
естъ|jestъ
прѣжде|perђe
връѕи|vŕ̥gi
камень|kamenь
на|na
н҄ѭ|ńǫ
ꙇ|i
пакꙑ|paky
поклонь|poklońь
сѧ|sę
писаше|
на|na
земл҄и|zemĺi
слꙑсавъше|slyšǢvъše
ꙇсхождахѫ|jьsxoђǢaxǫ
единъ|jedinъ
по|po
единомоу|jedinomu
начьнъше|načьnъ
отъ|otъ
старьць|starьkь
ꙇ|i
оста|osta
единъ|jedinъ
ꙇ|i
жена|žena
стоѩшті|stojęћi
посрѣдѣ|
въсклонь|vъsklońь
же|že
сѧ|sę
и҃с|jisusъ
рече|reče
еі|jejь
жено|ženo
къде|kъde
сѫтъ|sǫtъ
ꙇже|jiže
на|na
тѧ|tę
важдахѫ|vaђǢaxǫ
никꙑже|nikъjьže
ли|li
тебе|tebe
осѫди|osǫdi
она|ona
же|že
рече|reče
никътоже|nikъtože
г҃и|gospodi
рече|reče
же|že
и҃с|jisusъ
ни|ni
азъ|azъ
тебе|tebe
осѫждаѭ|osǫђǢjǫ
ꙇди|jьdi
ꙇ|i
отъселѣ|otъselě
не|ne
съгрѣшаі|sъgrěšǢji
къ|kъ
томоу|tomu
Пакꙑ|paky
же|že
ꙇмъ|jimъ
рече|reče
и҃с|jisusъ
г҃лѧ|golgoĺę
азъ|azъ
есмь|jesmь
свѣтъ|světъ
мироу|miru
ходѧі|xodęjь
по|po
мнѣ|mъně
не|ne
ꙇматъ|jьmatъ
ходити|xoditi
въ|vъ
тъмѣ|tьmě
нъ|nъ
ꙇматъ|jьmatъ
свѣта|světa
животънаго|životьnajego
рѣшѧ|rěšę
же|že
емоу|jemu
фарисѣі|fariseji
тꙑ|ty
о|o
себѣ|sebě
самъ|samъ
съвѣдѣтельствоуеши|sъvěděteĺьstvuješi
съвѣдѣтельство|sъvěděteĺьstvo
твое|tvoje
нѣстъ|něstъ
ꙇстинъно|jьstinьno
отъвѣшта|otъvěћǢ
и҃с|jisusъ
ꙇ|i
рече|reče
ꙇмъ|jimъ
аште|aћe
азъ|azъ
съвѣдѣтельствоуѭ|sъvěděteĺьstvujǫ
о|o
мьнѣ|mъně
самомь|samomь
съвѣдѣтел҄ьство|sъvěděteĺьstvo
мое|moje
нѣстъ|něstъ
ꙇстинъно|jьstinьno
естъ|jestъ
ѣко|ako
вѣмь|věmь
отъкѫдоу|otъkǫdu
придъ|prijьdъ
ꙇ|i
камо|kamo
грѧдѫ|grędǫ
ꙇ|i
камо|kamo
ꙇдѫ|jьdǫ
вꙑ|vy
же|že
по|po
плъти|plъti
сѫдите|sǫdite
азъ|azъ
не|ne
сѫждѫ|sǫђǫ
никомоуже|nikomuže
аште|aћe
сѫждѫ|sǫђǫ
азъ|azъ
сѫдъ|sǫdъ
моі|mojь
ꙇстиньнъ|jьstinьnъ
естъ|jestъ
ѣко|ako
единъ|jedinъ
нѣсмь|něsmь
нъ|nъ
азъ|azъ
ꙇ|i
посълавꙑ|posъlavъjь
мѧ|mę
о҃ць|otьkь
ꙇ|i
въ|vъ
законѣ|zakoně
же|že
вашемь|vašemь
спⸯано|
естъ|jestъ
ѣко|ako
дъвою|dъvoju
ч҃коу|čьlověku
съвѣдѣтел҄ьство|sъvěděteĺьstvo
ꙇстиньно|jьstinьno
естъ|jestъ
азъ|azъ
есмь|jesmь
съвѣдѣтел҄ьствоуѩі|sъvěděteĺьstvujęjь
о|o
мьнѣ|mъně
самомь|samomь
ꙇ|i
съвѣдѣтельствоуетъ|sъvěděteĺьstvujetъ
о|o
мьнѣ|mъně
посълавꙑ|posъlavъjь
ме|mę
о҃ць|otьkь
г҃лахѫ|golgolaaxǫ
же|že
емоу|jemu
къде|kъde
естъ|jestъ
о҃ць|otьkь
твоі|tvojь
Ѡтъвѣшта|otъvěћǢ
и҃с|jisusъ
ни|ni
мене|mene
вѣсте|věste
ни|ni
о҃ца|boga
мего|
аште|aћe
мѧ|mę
бисте|bite
вѣдѣли|věděli
ꙇ|i
о҃ца|boga
моего|mojego
оубо|ubo
бисте|bite
вѣдѣли|věděli
Сиѩ|sьję
г҃лꙑ|golgoly
г҃ла|golgola
въ|vъ
газофилакиі|gazofilaḱiji
оучѧ|učę
въ|vъ
цръкъве|kŕ̥kъve
ꙇ|i
никътоже|nikъtože
не|ne
етъ|jьmetъ
его|jego
ѣко|ako
не|ne
ю|ju
бѣ|bě
пришьла|
година|godina
его|jego
Рече|reče
же|že
ꙇмъ|jimъ
пакꙑ|paky
и҃с|jisusъ
азъ|azъ
ꙇдѫ|jьdǫ
ꙇ|i
вьзиштете|vъziščete
мене|mene
ꙇ|i
въ|vъ
грѣсѣ|grěxě
вашемь|vašemь
оумьрете|umьrete
ѣможе|amože
азъ|azъ
ꙇдѫ|jьdǫ
вꙑ|vy
не|ne
можете|možete
прити|prijьti
г҃лахѫ|golgolaaxǫ
же|že
ꙇюдеі|ijudeji
еда|jeda
сѧ|sę
самъ|samъ
оубиетъ|ubьjetъ
ѣко|ako
г҃летъ|golgoĺetъ
ѣможе|amože
азъ|azъ
ꙇдѫ|jьdǫ
вꙑ|vy
не|ne
можете|možete
прити|prijьti
азъ|azъ
отъ|otъ
вꙑшьн҄ихъ|vyšьńьjixъ
есмь|jesmь
вꙑ|vy
отъ|otъ
вьсего|vьxego
мира|mira
есте|jeste
азъ|azъ
нѣсмь|něsmь
отъ|otъ
вьсего|vьxego
мира|mira
рѣхъ|rěxъ
оубо|ubo
ѣко|ako
оумьрете|umьrete
въ|vъ
грѣсѣхъ|grěxěxъ
вашихъ|vašixъ
аште|aћe
бо|bo
вѣрꙑ|věry
не|ne
емлете|jemĺete
азъ|azъ
есмь|jesmь
оумьрете|umьrete
въ|vъ
грѣсѣхъ|grěxěxъ
вашихъ|vašixъ
г҃лаахѫ|golgolaaxǫ
же|že
емоу|jemu
тꙑ|ty
къто|kъto
еси|jesi
ꙇ|i
рече|reče
ꙇмъ|jimъ
и҃с|jisusъ
начѧтъкъ|načętъkъ
ѣко|ako
ꙇ|i
г҃лѭ|golgoĺǫ
вамъ|vamъ
мъного|mъnogo
ꙇмамь|jьmamь
о|o
васъ|vasъ
г҃лати|golgolati
ꙇ|i
сѫдити|sǫditi
нъ|nъ
посълавꙑ|posъlavъjь
мѧ|mę
ꙇстиннъ|jьstinьnъ
естъ|jestъ
ꙇ|i
азъ|azъ
ѣже|jǢže
слꙑшахъ|slyšǢxъ
отъ|otъ
н҄его|ńego
си|si
г҃лѭ|golgoĺǫ
въ|vъ
мирѣ|mirě
ꙇ|i
не|ne
разоумѣшѧ|orzuměšę
ѣко|ako
о҃ца|boga
ꙇмъ|jimъ
г҃лааше|golgolaaše
б҃а|boga
Рече|reče
же|že
ꙇмъ|jimъ
и҃с|jisusъ
егда|jegъda
вьзнесете|corrupted morphology tag
с҃на|syna
ч҃скаго|čьlověčьskajego
тогда|tъgъda
разоумѣете|orzumějete
ѣко|ako
азъ|azъ
есмь|jesmь
ꙇ|i
о|o
себѣ|sebě
ничесоже|ničesože
не|ne
творѫ|tvoŕǫ
нъ|nъ
ѣкоже|akože
наоучи|nauči
мѧ|mę
о҃ць|otьkь
си|si
г҃лѭ|golgoĺǫ
ꙇ|i
посълавꙑ|posъlavъjь
мѧ|mę
съ|﻿sъ
мъноѭ|mъnojǫ
естъ|jestъ
не|ne
остави|ostavi
мене|mene
единого|jedinogo
